,Rank,Country,Driver,Wins,Seasons active,First win,Last win
0,1,United Kingdom,Lewis Hamilton,103,2007–,2007 Canadian Grand Prix,2021 Saudi Arabian Grand Prix
1,2,Germany,Michael Schumacher,91,"1991–2006, 2010–2012",1992 Belgian Grand Prix,2006 Chinese Grand Prix
2,3,Germany,Sebastian Vettel,53,2007–2022,2008 Italian Grand Prix,2019 Singapore Grand Prix
3,4,France,Alain Prost,51,"1980–1991, 1993",1981 French Grand Prix,1993 German Grand Prix
4,5,Brazil,Ayrton Senna,41,1984–1994,1985 Portuguese Grand Prix,1993 Australian Grand Prix
5,6,Netherlands,Max Verstappen,33,2015–,2016 Spanish Grand Prix,2022 United States Grand Prix
6,7,Spain,Fernando Alonso,32,"2001, 2003–2018, 2021–",2003 Hungarian Grand Prix,2013 Spanish Grand Prix
7,8,United Kingdom,Nigel Mansell,31,"1980–1992, 1994–1995",1985 European Grand Prix,1994 Australian Grand Prix
8,9,United Kingdom,Jackie Stewart,27,1965–1973,1965 Italian Grand Prix,1973 German Grand Prix
9,10,United Kingdom,Jim Clark,25,1960–1968,1962 Belgian Grand Prix,1968 South African Grand Prix
