,gambling_activity,year,percentage
0,National Lottery draws,2018,28.0
1,Scratchcards,2018,10.5
2,Another lottery,2018,11.2
3,Fruit or slot machines,2018,3.9
4,   In casinos,2018,1.0
5,Virtual gaming machines in a bookmakers,2018,1.6
6,Bingo,2018,2.6
7,Football pools,2018,1.3
8,Horse races,2018,3.6
9,Dog races,2018,0.9
10,Sports betting,2018,6.6
11,Betting on other events,2018,1.0
12,Virtual dog or horse races,2018,0.3
13,Spread betting,2018,0.3
14,Online slot machine style games / instant wins,2018,1.1
15,Casino games,2018,1.6
16,Private betting,2018,5.9
17,National Lottery draws,2019,28.8
18,Scratchcards,2019,11.0
19,Another lottery,2019,11.5
20,Fruit or slot machines,2019,3.8
21,   In casinos,2019,0.7
22,Virtual gaming machines in a bookmakers,2019,0.8
23,Bingo,2019,2.7
24,Football pools,2019,1.7
25,Horse races,2019,4.4
26,Dog races,2019,0.8
27,Sports betting,2019,6.9
28,Betting on other events,2019,1.3
29,Virtual dog or horse races,2019,0.5
30,Spread betting,2019,0.3
31,Online slot machine style games / instant wins,2019,2.7
32,Casino games,2019,1.6
33,Private betting,2019,5.4
34,National Lottery draws,2020,27.3
35,Scratchcards,2020,8.5
36,Another lottery,2020,12.4
37,Fruit or slot machines,2020,2.2
38,   In casinos,2020,0.2
39,Virtual gaming machines in a bookmakers,2020,0.8
40,Bingo,2020,2.8
41,Football pools,2020,1.7
42,Horse races,2020,2.9
43,Dog races,2020,0.4
44,Sports betting,2020,5.3
45,Betting on other events,2020,1.1
46,Virtual dog or horse races,2020,0.2
47,Spread betting,2020,0.2
48,Online slot machine style games / instant wins,2020,4.1
49,Casino games,2020,1.3
50,Private betting,2020,4.6
51,National Lottery draws,2021,26.5
52,Scratchcards,2021,7.2
53,Another lottery,2021,12.8
54,Fruit or slot machines,2021,1.6
55,   In casinos,2021,0.1
56,Virtual gaming machines in a bookmakers,2021,0.3
57,Bingo,2021,1.6
58,Football pools,2021,1.2
59,Horse races,2021,3.3
60,Dog races,2021,0.3
61,Sports betting,2021,5.6
62,Betting on other events,2021,0.7
63,Virtual dog or horse races,2021,0.3
64,Spread betting,2021,0.3
65,Online slot machine style games / instant wins,2021,3.4
66,Casino games,2021,1.0
67,Private betting,2021,3.5
68,National Lottery draws,2022,28.7
69,Scratchcards,2022,7.7
70,Another lottery,2022,13.2
71,Fruit or slot machines,2022,3.0
72,   In casinos,2022,0.3
73,Virtual gaming machines in a bookmakers,2022,0.8
74,Bingo,2022,2.3
75,Football pools,2022,1.2
76,Horse races,2022,3.6
77,Dog races,2022,0.5
78,Sports betting,2022,4.5
79,Betting on other events,2022,0.9
80,Virtual dog or horse races,2022,0.7
81,Spread betting,2022,0.4
82,Online slot machine style games / instant wins,2022,4.6
83,Casino games,2022,1.0
84,Private betting,2022,3.2
