,type,location,percentage
0,National Lottery draws,Online,36.0
1,Another lottery,Online,50.0
2,Bingo,Online,24.0
3,Football pools,Online,55.0
4,Horseraces,Online,61.0
5,Sports betting,Online,81.0
6,Football betting,Online,83.0
7,Other sports betting,Online,80.0
8,Betting on other events,Online,58.0
9,Casino games,Online,74.0
10,National Lottery draws,In person,73.0
11,Another lottery,In person,53.0
12,Bingo,In person,81.0
13,Football pools,In person,50.0
14,Horseraces,In person,49.0
15,Sports betting,In person,27.0
16,Football betting,In person,26.0
17,Other sports betting,In person,22.0
18,Betting on other events,In person,53.0
19,Casino games,In person,47.0
